class,filename,xmax,xmin,ymax,ymin
red_sign,00000.jpg,815,774,446,411
red_sign,00001.jpg,1031,973,390,335
red_sign,00003.jpg,765,742,466,443
red_sign,00003.jpg,764,742,489,466
red_sign,00003.jpg,769,737,443,412
red_sign,00004.jpg,967,898,409,342
red_sign,00004.jpg,955,906,459,407
red_sign,00005.jpg,1284,1172,278,164
red_sign,00006.jpg,989,926,414,350
red_sign,00007.jpg,864,825,445,406
red_sign,00008.jpg,811,785,486,460
red_sign,00009.jpg,949,925,490,466
red_sign,00011.jpg,770,720,398,338
red_sign,00011.jpg,780,710,342,265
red_sign,00012.jpg,1034,979,418,364
red_sign,00013.jpg,1120,1043,356,281
red_sign,00014.jpg,732,712,511,492
red_sign,00015.jpg,808,770,462,426
red_sign,00017.jpg,1031,908,408,302
red_sign,00017.jpg,598,575,515,495
red_sign,00018.jpg,981,950,486,455
red_sign,00019.jpg,888,845,465,423
red_sign,00020.jpg,862,825,463,428
red_sign,00021.jpg,877,825,437,388
red_sign,00022.jpg,692,667,497,472
red_sign,00023.jpg,1074,998,371,292
red_sign,00023.jpg,136,46,444,350
red_sign,00023.jpg,1006,945,492,435
red_sign,00024.jpg,143,112,492,463
red_sign,00025.jpg,772,731,459,422
red_sign,00026.jpg,492,453,451,411
red_sign,00027.jpg,1024,969,441,386
red_sign,00027.jpg,157,102,430,375
red_sign,00028.jpg,833,775,453,399
red_sign,00029.jpg,1133,1091,436,393
red_sign,00031.jpg,812,763,473,426
red_sign,00032.jpg,707,678,469,443
red_sign,00034.jpg,899,866,460,430
red_sign,00035.jpg,714,678,474,439
red_sign,00040.jpg,1141,1017,313,202
red_sign,00042.jpg,995,916,374,300
red_sign,00047.jpg,579,553,488,462
red_sign,00048.jpg,815,771,443,405
red_sign,00050.jpg,972,941,372,339
red_sign,00053.jpg,1196,1156,372,333
red_sign,00054.jpg,1152,1113,473,436
red_sign,00054.jpg,1146,1117,502,473
red_sign,00055.jpg,747,702,455,413
red_sign,00056.jpg,760,729,467,436
red_sign,00057.jpg,1036,990,467,418
red_sign,00060.jpg,842,819,464,441
red_sign,00061.jpg,1285,1224,394,333
red_sign,00063.jpg,837,815,521,499
red_sign,00064.jpg,808,786,470,447
red_sign,00065.jpg,1022,973,427,377
red_sign,00067.jpg,979,949,465,435
red_sign,00068.jpg,872,849,479,458
red_sign,00069.jpg,838,817,480,459
red_sign,00070.jpg,1026,946,373,300
red_sign,00071.jpg,828,788,473,437
red_sign,00071.jpg,822,794,502,474
red_sign,00071.jpg,821,794,529,503
red_sign,00072.jpg,858,836,478,456
red_sign,00073.jpg,752,723,457,431
red_sign,00073.jpg,748,727,477,457
red_sign,00073.jpg,749,727,497,476
red_sign,00073.jpg,456,425,455,428
red_sign,00073.jpg,452,430,475,453
red_sign,00073.jpg,452,432,495,475
red_sign,00074.jpg,488,439,452,401
red_sign,00074.jpg,981,929,431,378
red_sign,00075.jpg,1187,1120,409,350
red_sign,00075.jpg,1179,1131,456,409
red_sign,00076.jpg,819,784,472,440
red_sign,00076.jpg,815,789,495,471
red_sign,00077.jpg,1015,951,408,348
red_sign,00077.jpg,1011,962,455,408
red_sign,00078.jpg,1319,1211,305,206
red_sign,00078.jpg,821,800,483,462
red_sign,00079.jpg,792,762,489,459
red_sign,00080.jpg,880,829,432,381
red_sign,00081.jpg,1044,966,299,228
red_sign,00083.jpg,1152,1054,296,208
red_sign,00085.jpg,875,846,458,429
red_sign,00088.jpg,982,956,490,464
red_sign,00088.jpg,436,410,490,464
red_sign,00088.jpg,436,412,464,440
red_sign,00088.jpg,981,956,464,440
red_sign,00089.jpg,1054,1025,468,438
red_sign,00089.jpg,660,634,474,447
red_sign,00090.jpg,1007,966,464,428
red_sign,00091.jpg,899,869,471,443
red_sign,00091.jpg,1096,1056,414,377
red_sign,00091.jpg,553,509,422,382
red_sign,00092.jpg,739,718,462,440
red_sign,00093.jpg,379,344,436,397
red_sign,00093.jpg,1119,1076,389,339
red_sign,00094.jpg,995,946,419,370
red_sign,00094.jpg,189,113,392,316
red_sign,00095.jpg,719,698,481,461
red_sign,00095.jpg,723,695,461,437
red_sign,00096.jpg,738,699,435,396
red_sign,00096.jpg,1176,1140,458,420
red_sign,00097.jpg,1168,1125,378,338
red_sign,00097.jpg,334,288,368,328
red_sign,00098.jpg,1296,1206,323,244
red_sign,00098.jpg,668,594,353,286
red_sign,00099.jpg,953,910,533,495
red_sign,00100.jpg,451,413,541,507
red_sign,00100.jpg,902,863,540,505
red_sign,00101.jpg,891,835,461,406
red_sign,00102.jpg,990,933,365,314
red_sign,00104.jpg,808,767,499,462
red_sign,00104.jpg,730,695,492,461
red_sign,00105.jpg,303,256,484,438
red_sign,00105.jpg,1024,958,440,378
red_sign,00106.jpg,985,902,443,369
red_sign,00107.jpg,540,486,537,485
red_sign,00107.jpg,529,490,576,536
red_sign,00109.jpg,1020,990,513,484
red_sign,00110.jpg,954,929,513,489
red_sign,00111.jpg,1123,1091,497,465
red_sign,00111.jpg,382,350,535,503
red_sign,00112.jpg,399,366,508,473
red_sign,00112.jpg,1225,1186,514,475
red_sign,00113.jpg,419,351,480,413
red_sign,00114.jpg,1231,1169,484,421
red_sign,00115.jpg,950,850,317,218
red_sign,00116.jpg,400,383,502,473
red_sign,00117.jpg,131,99,466,425
red_sign,00119.jpg,873,847,496,472
red_sign,00120.jpg,164,58,345,243
red_sign,00121.jpg,185,91,416,308
red_sign,00122.jpg,521,500,518,496
red_sign,00122.jpg,904,883,520,498
red_sign,00123.jpg,550,519,524,492
red_sign,00123.jpg,1133,1101,516,483
red_sign,00124.jpg,558,532,507,481
red_sign,00124.jpg,1002,976,496,470
red_sign,00125.jpg,1106,1019,401,313
red_sign,00126.jpg,868,840,404,374
red_sign,00126.jpg,411,379,396,365
red_sign,00127.jpg,175,138,423,385
red_sign,00127.jpg,1046,1009,417,380
red_sign,00129.jpg,1008,962,426,379
red_sign,00129.jpg,905,866,439,399
red_sign,00130.jpg,236,209,453,426
red_sign,00130.jpg,626,601,456,431
red_sign,00130.jpg,345,318,467,439
red_sign,00131.jpg,1034,1010,455,430
red_sign,00131.jpg,500,474,415,389
red_sign,00132.jpg,393,314,377,306
red_sign,00134.jpg,1073,1008,365,299
red_sign,00135.jpg,777,718,356,298
red_sign,00136.jpg,857,816,437,401
red_sign,00137.jpg,892,824,384,324
red_sign,00138.jpg,235,157,268,179
red_sign,00138.jpg,1336,1302,432,399
red_sign,00140.jpg,275,247,501,472
red_sign,00141.jpg,894,857,416,379
red_sign,00142.jpg,835,816,473,454
red_sign,00144.jpg,727,708,464,445
red_sign,00146.jpg,732,707,426,404
red_sign,00146.jpg,729,711,445,427
red_sign,00147.jpg,784,750,452,419
red_sign,00148.jpg,943,872,416,353
red_sign,00149.jpg,1221,1131,361,274
red_sign,00150.jpg,865,824,386,345
red_sign,00151.jpg,824,794,401,372
red_sign,00156.jpg,848,819,417,388
red_sign,00157.jpg,297,262,460,423
red_sign,00157.jpg,926,885,432,392
red_sign,00160.jpg,653,610,428,388
red_sign,00162.jpg,262,244,448,430
red_sign,00162.jpg,732,713,452,433
red_sign,00162.jpg,562,544,462,444
red_sign,00164.jpg,918,874,416,375
red_sign,00165.jpg,399,382,431,412
red_sign,00165.jpg,745,689,340,292
red_sign,00166.jpg,848,814,416,382
red_sign,00167.jpg,392,369,469,446
red_sign,00167.jpg,750,729,455,433
red_sign,00168.jpg,719,693,442,419
red_sign,00169.jpg,1212,1089,276,153
red_sign,00170.jpg,944,912,358,322
red_sign,00171.jpg,932,882,385,335
red_sign,00171.jpg,932,883,433,385
red_sign,00172.jpg,740,712,495,471
red_sign,00172.jpg,737,718,437,418
red_sign,00173.jpg,1161,1111,329,279
red_sign,00174.jpg,753,718,444,413
red_sign,00174.jpg,747,723,467,443
red_sign,00175.jpg,944,893,396,341
red_sign,00176.jpg,875,850,440,414
red_sign,00177.jpg,313,271,458,416
red_sign,00177.jpg,785,746,462,423
red_sign,00177.jpg,1308,1271,437,402
red_sign,00178.jpg,748,728,476,456
red_sign,00180.jpg,1004,968,421,384
red_sign,00181.jpg,853,793,359,299
red_sign,00182.jpg,685,656,441,412
red_sign,00183.jpg,806,766,406,369
red_sign,00184.jpg,850,790,334,273
red_sign,00185.jpg,1076,967,257,150
red_sign,00186.jpg,621,603,474,455
red_sign,00186.jpg,345,325,448,428
red_sign,00187.jpg,709,675,439,405
red_sign,00187.jpg,194,161,428,393
red_sign,00188.jpg,752,705,422,379
red_sign,00189.jpg,917,853,394,339
red_sign,00191.jpg,728,693,439,406
red_sign,00192.jpg,516,492,437,414
red_sign,00192.jpg,334,314,461,440
red_sign,00193.jpg,834,727,331,224
red_sign,00194.jpg,787,718,369,306
red_sign,00195.jpg,1161,1040,268,155
red_sign,00195.jpg,820,784,430,398
red_sign,00196.jpg,787,726,370,316
red_sign,00197.jpg,956,867,361,278
red_sign,00198.jpg,702,678,435,412
red_sign,00199.jpg,882,826,374,322
red_sign,00200.jpg,915,840,364,287
red_sign,00200.jpg,670,648,433,410
red_sign,00200.jpg,281,257,428,403
red_sign,00201.jpg,812,762,397,352
red_sign,00202.jpg,702,657,365,319
red_sign,00202.jpg,104,56,363,315
red_sign,00203.jpg,784,758,400,375
red_sign,00204.jpg,946,858,242,151
red_sign,00205.jpg,1326,1202,449,332
red_sign,00206.jpg,164,55,103,8
red_sign,00206.jpg,1235,1144,196,118
red_sign,00207.jpg,942,870,378,313
red_sign,00208.jpg,732,638,319,239
red_sign,00209.jpg,1184,1097,287,210
red_sign,00211.jpg,705,667,445,410
red_sign,00214.jpg,1295,1185,236,130
red_sign,00216.jpg,337,312,467,442
red_sign,00216.jpg,911,886,472,446
red_sign,00217.jpg,1031,971,328,267
red_sign,00219.jpg,1155,1080,340,270
red_sign,00220.jpg,1168,1127,326,285
red_sign,00221.jpg,1042,988,470,420
red_sign,00222.jpg,1022,985,390,354
red_sign,00223.jpg,858,816,374,334
red_sign,00224.jpg,1024,932,278,188
red_sign,00224.jpg,977,923,341,276
red_sign,00224.jpg,1042,977,333,263
red_sign,00225.jpg,924,856,334,268
red_sign,00226.jpg,1220,1152,290,224
red_sign,00227.jpg,1306,1228,329,259
red_sign,00228.jpg,998,937,356,295
red_sign,00229.jpg,1332,1282,383,339
red_sign,00229.jpg,1305,1273,417,384
red_sign,00229.jpg,1341,1305,414,382
red_sign,00230.jpg,1002,974,426,398
red_sign,00230.jpg,1007,968,463,426
red_sign,00231.jpg,1183,1146,399,362
red_sign,00232.jpg,910,868,419,379
red_sign,00232.jpg,340,297,459,420
red_sign,00234.jpg,1115,1051,338,275
red_sign,00236.jpg,1199,1081,402,274
red_sign,00237.jpg,854,822,393,361
red_sign,00237.jpg,323,290,422,389
red_sign,00238.jpg,881,842,435,400
red_sign,00238.jpg,877,849,471,443
red_sign,00239.jpg,814,788,436,411
red_sign,00239.jpg,812,792,458,439
red_sign,00240.jpg,879,847,396,364
red_sign,00241.jpg,880,838,442,400
red_sign,00242.jpg,870,848,413,388
red_sign,00242.jpg,1302,1195,366,267
red_sign,00243.jpg,867,843,470,447
red_sign,00244.jpg,530,491,429,390
red_sign,00244.jpg,1282,1238,394,349
red_sign,00245.jpg,499,477,464,442
red_sign,00245.jpg,874,851,461,438
red_sign,00246.jpg,354,311,425,381
red_sign,00246.jpg,1134,1091,396,354
red_sign,00247.jpg,492,471,474,453
red_sign,00247.jpg,877,856,469,448
red_sign,00248.jpg,229,204,479,452
red_sign,00248.jpg,870,843,456,429
red_sign,00249.jpg,1244,1212,452,419
red_sign,00250.jpg,932,907,471,446
red_sign,00252.jpg,960,915,434,389
red_sign,00252.jpg,956,910,372,326
red_sign,00253.jpg,1301,1186,244,134
red_sign,00254.jpg,1237,1172,336,270
red_sign,00254.jpg,1295,1264,398,368
red_sign,00256.jpg,1232,1105,153,42
red_sign,00257.jpg,1295,1237,387,334
red_sign,00257.jpg,1119,1079,423,388
red_sign,00258.jpg,777,745,501,469
red_sign,00258.jpg,381,346,522,490
red_sign,00259.jpg,1247,1202,374,329
red_sign,00260.jpg,784,720,330,266
red_sign,00263.jpg,666,646,437,417
red_sign,00264.jpg,988,964,435,412
red_sign,00264.jpg,988,965,458,435
red_sign,00264.jpg,531,509,488,466
red_sign,00265.jpg,831,800,456,426
red_sign,00265.jpg,804,783,464,446
red_sign,00265.jpg,827,805,480,458
red_sign,00266.jpg,293,242,501,450
red_sign,00268.jpg,917,891,422,396
red_sign,00269.jpg,990,966,454,430
red_sign,00270.jpg,293,243,386,335
red_sign,00270.jpg,1291,1237,332,279
red_sign,00271.jpg,297,259,408,369
red_sign,00271.jpg,1130,1090,381,341
red_sign,00272.jpg,1297,1223,385,315
red_sign,00272.jpg,377,310,461,398
red_sign,00273.jpg,1145,1080,343,286
red_sign,00274.jpg,1011,975,430,395
red_sign,00276.jpg,845,798,388,346
red_sign,00277.jpg,1071,1048,422,399
red_sign,00278.jpg,955,915,390,354
red_sign,00280.jpg,1083,1054,422,392
red_sign,00281.jpg,1016,982,393,363
red_sign,00281.jpg,1017,984,425,392
red_sign,00282.jpg,901,869,444,414
red_sign,00283.jpg,1284,1177,219,114
red_sign,00284.jpg,1051,993,404,347
red_sign,00285.jpg,1146,1091,359,304
red_sign,00286.jpg,1044,1015,389,360
red_sign,00287.jpg,1154,1113,411,370
red_sign,00288.jpg,436,413,479,456
red_sign,00288.jpg,1006,983,462,438
red_sign,00290.jpg,1326,1294,428,391
red_sign,00291.jpg,1165,1129,422,384
red_sign,00292.jpg,1011,982,451,422
red_sign,00292.jpg,345,315,476,447
red_sign,00293.jpg,70,28,456,410
red_sign,00293.jpg,1193,1143,415,365
red_sign,00294.jpg,153,101,453,405
red_sign,00294.jpg,1231,1173,381,326
red_sign,00296.jpg,492,460,442,409
red_sign,00296.jpg,1269,1237,417,385
red_sign,00297.jpg,1042,1015,468,444
red_sign,00297.jpg,620,593,466,443
red_sign,00298.jpg,1327,1220,264,168
red_sign,00298.jpg,1314,1238,331,256
red_sign,00298.jpg,107,69,475,445
red_sign,00300.jpg,710,680,458,430
red_sign,00300.jpg,801,779,443,420
red_sign,00301.jpg,1131,1062,324,260
red_sign,00301.jpg,1125,1075,368,318
red_sign,00303.jpg,1215,1186,414,385
red_sign,00305.jpg,827,765,422,368
red_sign,00305.jpg,597,549,393,348
red_sign,00306.jpg,1084,1047,455,420
red_sign,00306.jpg,389,353,505,471
red_sign,00307.jpg,488,457,505,474
red_sign,00307.jpg,827,795,487,454
red_sign,00307.jpg,934,892,457,417
red_sign,00309.jpg,220,180,431,388
red_sign,00309.jpg,1203,1159,398,353
red_sign,00311.jpg,650,616,458,424
red_sign,00311.jpg,1329,1295,425,391
red_sign,00312.jpg,225,122,379,267
red_sign,00312.jpg,1249,1226,433,411
red_sign,00312.jpg,699,677,453,434
red_sign,00314.jpg,1247,1213,434,398
red_sign,00314.jpg,429,396,485,451
red_sign,00316.jpg,719,693,437,413
red_sign,00316.jpg,719,696,458,436
red_sign,00316.jpg,1022,994,420,395
red_sign,00316.jpg,1020,995,445,421
red_sign,00318.jpg,657,631,477,451
red_sign,00319.jpg,1248,1201,450,403
red_sign,00319.jpg,612,569,481,436
red_sign,00322.jpg,1209,1166,370,327
red_sign,00322.jpg,381,338,449,406
red_sign,00323.jpg,425,398,464,437
red_sign,00323.jpg,881,854,466,438
red_sign,00330.jpg,1116,1050,381,313
red_sign,00333.jpg,176,116,477,414
red_sign,00333.jpg,808,753,445,387
red_sign,00334.jpg,369,323,498,452
red_sign,00334.jpg,797,760,472,435
red_sign,00338.jpg,538,504,427,397
red_sign,00338.jpg,536,505,453,425
red_sign,00338.jpg,1031,998,426,397
red_sign,00338.jpg,1029,1000,453,426
red_sign,00339.jpg,660,627,476,442
red_sign,00340.jpg,851,827,567,543
red_sign,00340.jpg,851,827,567,543
red_sign,00341.jpg,997,923,533,465
red_sign,00343.jpg,829,802,558,531
red_sign,00343.jpg,512,483,536,507
red_sign,00346.jpg,321,291,571,541
red_sign,00346.jpg,911,883,570,542
red_sign,00347.jpg,970,913,597,545
red_sign,00348.jpg,990,952,562,524
red_sign,00349.jpg,114,53,514,455
red_sign,00349.jpg,1312,1244,534,465
red_sign,00350.jpg,508,475,576,543
red_sign,00350.jpg,1125,1092,573,542
red_sign,00351.jpg,538,511,560,533
red_sign,00353.jpg,860,836,578,554
red_sign,00353.jpg,477,456,581,559
red_sign,00355.jpg,507,474,570,537
red_sign,00356.jpg,1004,946,573,520
red_sign,00356.jpg,310,249,555,499
red_sign,00357.jpg,1130,1095,560,524
red_sign,00357.jpg,500,463,565,528
red_sign,00358.jpg,374,316,549,490
red_sign,00359.jpg,903,879,583,559
red_sign,00359.jpg,492,467,585,560
red_sign,00360.jpg,1076,1032,528,484
red_sign,00360.jpg,296,253,545,502
red_sign,00362.jpg,370,252,574,470
red_sign,00363.jpg,450,407,526,483
red_sign,00363.jpg,453,409,568,525
red_sign,00366.jpg,540,517,553,530
red_sign,00366.jpg,541,518,576,553
red_sign,00366.jpg,1014,988,573,550
red_sign,00366.jpg,1015,988,597,574
red_sign,00367.jpg,1068,1028,541,501
red_sign,00367.jpg,1071,1028,583,542
red_sign,00367.jpg,274,230,530,488
red_sign,00367.jpg,276,235,573,533
red_sign,00368.jpg,431,382,510,460
red_sign,00368.jpg,431,378,561,509
red_sign,00369.jpg,542,521,564,544
red_sign,00369.jpg,543,520,585,564
red_sign,00369.jpg,895,874,551,532
red_sign,00369.jpg,896,875,571,550
red_sign,00370.jpg,904,880,559,536
red_sign,00370.jpg,907,880,584,558
red_sign,00370.jpg,467,440,554,531
red_sign,00370.jpg,468,442,578,553
red_sign,00371.jpg,372,316,577,521
red_sign,00372.jpg,1017,974,529,486
red_sign,00373.jpg,195,164,548,517
red_sign,00373.jpg,853,819,545,511
red_sign,00374.jpg,1031,999,560,527
red_sign,00375.jpg,1255,1229,545,521
red_sign,00377.jpg,1172,1133,543,504
red_sign,00377.jpg,278,239,531,490
red_sign,00377.jpg,1172,1133,582,543
red_sign,00377.jpg,277,236,573,532
red_sign,00378.jpg,142,23,480,362
red_sign,00378.jpg,145,22,362,242
red_sign,00379.jpg,232,186,504,458
red_sign,00379.jpg,1112,1064,536,488
red_sign,00379.jpg,232,185,550,503
red_sign,00379.jpg,1109,1062,489,442
red_sign,00380.jpg,575,551,583,559
red_sign,00380.jpg,976,953,587,564
red_sign,00380.jpg,975,952,563,540
red_sign,00380.jpg,575,551,559,535
red_sign,00382.jpg,485,445,530,490
red_sign,00382.jpg,485,446,568,529
red_sign,00382.jpg,1248,1209,535,496
red_sign,00382.jpg,1250,1211,572,533
red_sign,00383.jpg,561,527,575,546
red_sign,00383.jpg,1021,988,571,542
red_sign,00384.jpg,1263,1199,480,416
red_sign,00384.jpg,1267,1202,544,479
red_sign,00385.jpg,1016,977,568,529
red_sign,00385.jpg,307,267,571,531
red_sign,00386.jpg,580,555,586,561
red_sign,00386.jpg,1000,977,573,550
red_sign,00387.jpg,477,411,563,499
red_sign,00387.jpg,1251,1185,547,484
red_sign,00388.jpg,1346,1274,561,497
red_sign,00390.jpg,503,455,550,502
red_sign,00390.jpg,1265,1219,541,494
red_sign,00392.jpg,423,358,512,443
red_sign,00393.jpg,373,278,571,484
red_sign,00396.jpg,238,192,531,484
red_sign,00396.jpg,1046,998,516,468
red_sign,00397.jpg,983,949,593,559
red_sign,00397.jpg,982,947,559,524
red_sign,00398.jpg,796,769,540,517
red_sign,00398.jpg,795,771,560,538
red_sign,00398.jpg,796,772,582,558
red_sign,00400.jpg,1290,1236,528,480
red_sign,00401.jpg,461,420,537,496
red_sign,00401.jpg,1163,1122,538,497
red_sign,00403.jpg,592,568,564,540
red_sign,00403.jpg,965,939,559,532
red_sign,00404.jpg,396,335,476,415
red_sign,00404.jpg,1312,1255,472,415
red_sign,00405.jpg,1309,1255,525,470
red_sign,00405.jpg,411,355,499,444
red_sign,00406.jpg,551,520,581,554
red_sign,00406.jpg,879,852,570,544
red_sign,00406.jpg,1097,1046,551,503
red_sign,00406.jpg,333,284,559,514
red_sign,00408.jpg,212,128,539,463
red_sign,00408.jpg,1210,1132,549,479
red_sign,00411.jpg,139,110,588,557
red_sign,00411.jpg,529,496,587,552
red_sign,00412.jpg,1047,1002,545,499
red_sign,00413.jpg,1084,1038,529,480
red_sign,00414.jpg,1078,1032,468,421
red_sign,00415.jpg,849,827,571,549
red_sign,00416.jpg,851,813,543,505
red_sign,00417.jpg,129,29,539,448
red_sign,00418.jpg,488,455,566,537
red_sign,00418.jpg,482,460,585,563
red_sign,00419.jpg,1025,979,537,489
red_sign,00420.jpg,851,828,565,542
red_sign,00420.jpg,383,361,570,548
red_sign,00421.jpg,976,946,581,554
red_sign,00422.jpg,624,599,591,567
red_sign,00423.jpg,451,365,547,469
red_sign,00423.jpg,1245,1151,533,445
red_sign,00425.jpg,342,302,543,503
red_sign,00425.jpg,941,900,541,500
red_sign,00425.jpg,342,302,583,543
red_sign,00425.jpg,944,903,582,541
red_sign,00426.jpg,1197,1077,502,391
red_sign,00427.jpg,388,294,479,383
red_sign,00428.jpg,353,325,576,548
red_sign,00428.jpg,966,937,572,543
red_sign,00430.jpg,1008,929,488,414
red_sign,00431.jpg,314,275,564,527
red_sign,00431.jpg,1179,1141,536,496
red_sign,00432.jpg,263,237,586,560
red_sign,00432.jpg,970,942,540,512
red_sign,00433.jpg,566,510,583,529
red_sign,00434.jpg,257,167,286,194
red_sign,00435.jpg,862,834,564,535
red_sign,00436.jpg,816,794,553,531
red_sign,00439.jpg,1251,1194,564,504
red_sign,00440.jpg,1324,1243,562,492
red_sign,00441.jpg,1112,1063,580,531
red_sign,00443.jpg,847,817,578,550
red_sign,00443.jpg,843,823,598,579
red_sign,00443.jpg,502,470,578,551
red_sign,00443.jpg,497,477,596,578
red_sign,00444.jpg,427,379,573,528
red_sign,00444.jpg,1009,964,573,531
red_sign,00444.jpg,419,389,600,569
red_sign,00444.jpg,1001,972,601,572
red_sign,00445.jpg,1066,1021,544,498
red_sign,00445.jpg,254,213,561,519
red_sign,00446.jpg,441,401,544,507
red_sign,00446.jpg,803,767,530,497
red_sign,00447.jpg,1268,1182,495,418
red_sign,00449.jpg,254,212,507,468
red_sign,00449.jpg,853,812,486,448
red_sign,00450.jpg,1181,1104,429,359
red_sign,00451.jpg,819,790,585,558
red_sign,00452.jpg,914,876,578,543
red_sign,00453.jpg,1302,1215,407,332
red_sign,00453.jpg,922,895,524,497
red_sign,00453.jpg,279,224,457,407
red_sign,00455.jpg,1184,1094,442,362
red_sign,00456.jpg,476,421,470,414
red_sign,00457.jpg,1301,1243,475,418
red_sign,00457.jpg,554,517,504,466
red_sign,00459.jpg,912,877,548,515
red_sign,00459.jpg,909,884,573,548
red_sign,00465.jpg,1331,1241,395,315
red_sign,00466.jpg,1267,1215,443,399
red_sign,00466.jpg,548,514,497,468
red_sign,00467.jpg,1168,1132,537,501
red_sign,00468.jpg,1165,1128,544,506
red_sign,00470.jpg,847,823,513,489
red_sign,00470.jpg,938,904,549,514
red_sign,00473.jpg,540,507,565,532
red_sign,00473.jpg,1184,1152,538,506
red_sign,00474.jpg,1274,1242,581,549
red_sign,00474.jpg,545,514,600,569
red_sign,00475.jpg,1310,1233,543,468
red_sign,00476.jpg,199,163,555,518
red_sign,00476.jpg,1187,1152,558,523
red_sign,00477.jpg,338,298,546,506
red_sign,00478.jpg,963,921,512,470
red_sign,00478.jpg,258,218,523,483
red_sign,00479.jpg,1025,982,539,498
red_sign,00480.jpg,1103,1055,492,444
red_sign,00481.jpg,944,908,535,502
red_sign,00482.jpg,296,260,570,528
red_sign,00482.jpg,303,283,590,564
red_sign,00482.jpg,1071,1055,587,566
red_sign,00483.jpg,203,150,563,510
red_sign,00483.jpg,1232,1182,583,531
red_sign,00484.jpg,372,339,542,509
red_sign,00484.jpg,1035,1002,563,529
red_sign,00485.jpg,278,203,454,377
red_sign,00486.jpg,465,410,574,519
red_sign,00490.jpg,870,842,539,516
red_sign,00492.jpg,923,893,557,528
red_sign,00493.jpg,966,910,501,450
red_sign,00494.jpg,1211,1113,395,300
red_sign,00496.jpg,552,511,536,494
red_sign,00496.jpg,550,509,576,535
red_sign,00498.jpg,292,248,526,482
red_sign,00499.jpg,1056,1009,539,497
red_sign,00500.jpg,1000,952,546,499
red_sign,00501.jpg,962,943,577,557
red_sign,00501.jpg,628,610,577,558
red_sign,00501.jpg,227,120,386,282
red_sign,00502.jpg,85,57,584,556